train/train_loss_1_step,train/train_loss_2_step,train/train_loss_3_step,grad_2.0_norm_encoder_model.model.0.block.0.weight,grad_2.0_norm_encoder_model.model.0.block.0.bias,grad_2.0_norm_encoder_model.model.0.block.1.weight,grad_2.0_norm_encoder_model.model.0.block.1.bias,grad_2.0_norm_encoder_model.model.1.block.0.weight,grad_2.0_norm_encoder_model.model.1.block.0.bias,grad_2.0_norm_encoder_model.model.1.block.1.weight,grad_2.0_norm_encoder_model.model.1.block.1.bias,grad_2.0_norm_predictor.0.model.0.block.0.weight,grad_2.0_norm_predictor.0.model.0.block.0.bias,grad_2.0_norm_predictor.0.model.0.block.1.weight,grad_2.0_norm_predictor.0.model.0.block.1.bias,grad_2.0_norm_predictor.1.weight,grad_2.0_norm_predictor.1.bias,grad_2.0_norm_explainer.0.model.0.block.0.weight,grad_2.0_norm_explainer.0.model.0.block.0.bias,grad_2.0_norm_explainer.0.model.0.block.1.weight,grad_2.0_norm_explainer.0.model.0.block.1.bias,grad_2.0_norm_explainer.1.weight,grad_2.0_norm_explainer.1.bias,grad_2.0_norm_total,created_at,val/val_loss_1,val/val_loss_2,val/val_loss_3,val/val_loss,val/pred_accuracy,val/cf_proximity,val/cf_accuracy,val/robustness,val/total_diff_num,epoch,train/p_loss,train/train_loss_1_epoch,train/train_loss_2_epoch,train/train_loss_3_epoch,train/e_loss
0.12181102484464645,0.27793580293655396,0.029082415625452995,0.0342,0.0,0.0044,0.0066,0.0266,0.0,0.0073,0.0113,0.0083,0.0,0.0052,0.0117,0.0375,0.0216,0.0124,0.0,0.0015,0.0058,0.0089,0.0009,0.067,2021-01-15 09:55:51.196741,,,,,,,,,,,,,,,
0.11264614015817642,0.22853563725948334,0.024840041995048523,0.0942,0.0,0.0101,0.0186,0.0401,0.0,0.0027,0.0065,0.0061,0.0,0.0042,0.0086,0.0312,0.0166,0.0056,0.0,0.0009,0.0045,0.0089,0.0005,0.1117,2021-01-15 09:55:52.426266,,,,,,,,,,,,,,,
0.1009802594780922,0.2613632380962372,0.01994474232196808,0.0584,0.0,0.0102,0.013,0.0342,0.0,0.0083,0.0193,0.0075,0.0,0.003,0.0087,0.0199,0.0145,0.0076,0.0,0.0011,0.0059,0.0084,0.0021,0.0788,2021-01-15 09:55:53.583597,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15 09:55:55.322961,0.086395762860775,0.2716697156429291,0.04799443110823631,0.1369001865386963,0.8150286078453064,8.096935272216797,0.8842408657073975,1.0,485.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15 09:55:55.567936,,,,,,,,,,0.0,0.14922799170017242,0.11556937545537949,0.25542551279067993,0.031521789729595184,0.03407604247331619
0.12624391913414001,0.23227530717849731,0.021702397614717484,0.143,0.0,0.0285,0.0369,0.1031,0.0,0.0277,0.0541,0.0114,0.0,0.0026,0.0084,0.0134,0.0099,0.0302,0.0,0.0041,0.0233,0.0178,0.006,0.1982,2021-01-15 09:55:55.830366,,,,,,,,,,,,,,,
0.1117170974612236,0.21678513288497925,0.018231134861707687,0.0383,0.0,0.0059,0.007,0.0305,0.0,0.0115,0.0163,0.0085,0.0,0.0006,0.0046,0.0043,0.0002,0.0065,0.0,0.0013,0.0049,0.0081,0.0011,0.0559,2021-01-15 09:55:57.063674,,,,,,,,,,,,,,,
0.0820639431476593,0.21673375368118286,0.010524868965148926,0.3335,0.0,0.0753,0.0619,0.2148,0.0,0.0341,0.0583,0.0068,0.0,0.0013,0.0045,0.0084,0.0043,0.015,0.0,0.0026,0.0192,0.013,0.003,0.4152,2021-01-15 09:55:58.464906,,,,,,,,,,,,,,,
0.09180508553981781,0.2278757244348526,0.010443948209285736,0.0034,0.0,0.0005,0.0007,0.0029,0.0,0.0022,0.0024,0.0096,0.0,0.0026,0.006,0.0172,0.0113,0.001,0.0,0.001,0.001,0.0073,0.0002,0.0254,2021-01-15 09:55:59.668135,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15 09:56:01.035528,0.088559590280056,0.27568623423576355,0.10671758651733398,0.19819654524326324,0.8018894195556641,7.836851596832275,0.5908774137496948,1.0,259.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15 09:56:01.229994,,,,,,,,,,1.0,0.11916819959878922,0.10043085366487503,0.2253621369600296,0.018214624375104904,0.020468246191740036
0.09456008672714233,0.23070508241653442,0.025824345648288727,0.1019,0.0,0.0226,0.0211,0.05,0.0,0.0173,0.0249,0.0133,0.0,0.0033,0.0022,0.0097,0.0053,0.0074,0.0,0.0017,0.0064,0.0071,0.0006,0.1234,2021-01-15 09:56:01.725067,,,,,,,,,,,,,,,
0.10671065002679825,0.28637057542800903,0.015130113810300827,0.0269,0.0,0.0066,0.007,0.0208,0.0,0.0072,0.0119,0.0039,0.0,0.002,0.0063,0.0113,0.0071,0.0024,0.0,0.0009,0.0028,0.0061,0.0005,0.0416,2021-01-15 09:56:03.011668,,,,,,,,,,,,,,,
0.09007633477449417,0.24159343540668488,0.015362808480858803,0.0191,0.0,0.0051,0.0059,0.0174,0.0,0.0187,0.0192,0.0075,0.0,0.002,0.0031,0.0089,0.0049,0.01,0.0,0.002,0.0076,0.0059,0.002,0.0427,2021-01-15 09:56:04.374897,,,,,,,,,,,,,,,
0.0929977148771286,0.18776792287826538,0.02495012991130352,0.1558,0.0,0.0437,0.0479,0.0852,0.0,0.0279,0.0464,0.0197,0.0,0.0019,0.0044,0.0089,0.0019,0.0121,0.0,0.0032,0.0218,0.0205,0.0062,0.2006,2021-01-15 09:56:05.784233,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15 09:56:07.133547,0.08166521787643433,0.2395021617412567,0.06070499122142792,0.1445983201265335,0.8184465765953064,7.181142330169678,0.8141772747039795,1.0,737.0,2.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15 09:56:07.380403,,,,,,,,,,2.0,0.11433736979961395,0.09672508388757706,0.22322845458984375,0.016908608376979828,0.01914089359343052
0.11779019981622696,0.17560750246047974,0.026909390464425087,0.116,0.0,0.0448,0.039,0.1086,0.0,0.0624,0.1053,0.0428,0.0,0.0038,0.0139,0.028,0.0235,0.0149,0.0,0.0093,0.0232,0.0967,0.0061,0.2396,2021-01-15 09:56:08.172558,,,,,,,,,,,,,,,
0.08529876917600632,0.17343829572200775,0.007632155902683735,0.0023,0.0,0.0015,0.0026,0.0062,0.0,0.0017,0.0056,0.0018,0.0,0.0017,0.0054,0.0111,0.0085,0.0009,0.0,0.0003,0.001,0.0017,0.0002,0.018,2021-01-15 09:56:09.378701,,,,,,,,,,,,,,,
0.0916355699300766,0.17937660217285156,0.007369221653789282,0.0005,0.0,0.0002,0.0002,0.001,0.0,0.0005,0.0008,0.0009,0.0,0.0008,0.0015,0.0047,0.0039,0.0003,0.0,0.0001,0.0002,0.0012,0.0001,0.0067,2021-01-15 09:56:10.540110,,,,,,,,,,,,,,,
0.06809689849615097,0.16906912624835968,0.00669788708910346,0.0021,0.0,0.0011,0.0023,0.003,0.0,0.0016,0.007,0.0025,0.0,0.001,0.0051,0.0057,0.0064,0.0011,0.0,0.0008,0.0036,0.0025,0.0009,0.0141,2021-01-15 09:56:11.895346,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15 09:56:12.783152,0.07882292568683624,0.24149353802204132,0.0822172462940216,0.16335605084896088,0.8197481036186218,7.193865776062012,0.6880009770393372,1.0,1861.0,3.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15 09:56:12.974206,,,,,,,,,,3.0,0.10335487127304077,0.09242305904626846,0.17807403206825256,0.01185706164687872,0.013637800700962543
0.12315965443849564,0.17525067925453186,0.01170993223786354,0.0168,0.0,0.0053,0.0053,0.0105,0.0,0.0195,0.0156,0.005,0.0,0.0012,0.003,0.0078,0.0043,0.0119,0.0,0.0021,0.008,0.004,0.0025,0.0376,2021-01-15 09:56:13.933351,,,,,,,,,,,,,,,
