,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,0.0,0.6848627328872681,1.0,1.0,-1,0,546,444.09278655052185,0.9100000262260436,0.6848627328872681
DiverseCF,0.0,0.2826490104198456,1.0,0.9983340501785278,-1,4,2401,1194.7263686656952,0.9100000262260436,0.2826490104198456
ProtoCF,0.0,0.4492262303829193,0.9995999932289124,1.0,-1,0,1703,798.2780885696411,0.9100000262260436,0.4492262303829193
VAE-CF,0.0,0.7979745864868164,0.44839999079704285,0.9540481567382812,-1,21,457,0.008256673812866211,0.9100000262260437,0.7979745864868164
CounterfactualNet,0.0,0.659127950668335,0.9976000189781188,0.9722222089767456,-1,8,288,0.0049264430999755,0.906000018119812,0.659127950668335
