,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,12.184048652648926,1.02963387966156,0.803680956363678,1.0,-1,0,37,48.80155038833618,0.907975435256958,13.213683128356934
DiverseCF,18.699386596679688,0.2097325921058654,0.5276073813438416,1.0,-1,0,146,180.19463276863092,0.907975435256958,18.909120559692383
ProtoCF,16.196319580078125,0.1089458614587783,0.3251533806324005,1.0,-1,0,162,55.13410544395447,0.907975435256958,16.30526351928711
VAE-CF,21.20245361328125,0.2107914239168167,0.4907975494861603,1.0,-1,0,148,0.007837533950805664,0.907975435256958,21.413244247436523
CounterfactualNet,21.11656379699707,0.2175749540328979,0.9754601120948792,1.0,-1,0,161,0.0032575130462646,0.9202454090118408,21.33413887023925
