,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,6.529635429,6.312896729,1,1,-1,0,4312,2214.021986,0.934961319,12.84253216
DiverseCF,11.79236698,3.029198885,0.687569022,0.977652252,-1,182,8144,6922.069581,0.934961319,14.82156587
ProtoCF,9.613449097,4.031233788,1,1,-1,0,8005,2971.155096,0.934961319,13.64468288
VAE-CF,11.89422035,2.681862116,1,1,-1,0,8149,0.056110859,0.934961319,14.57608247
CounterfactualNet,10.69701767,1.65613699,0.970671237,0.999140978,-1,7,8149,0.041641712,0.912504613,12.35315466
