,diffs,total_nums,robustness
vanilla_cf,0,2615,1.0
diverse_cf,271,2615,0.8963671128107075
proto_cf,7,2615,0.9973231357552581
vae_cf,26,2615,0.990057361376673
c_net_cf,4,2615,0.998470363288719
