,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,1.3600000143051147,2.7859766483306885,1.0,1.0,-1,0,1,16.05959725379944,0.800000011920929,4.145977020263672
DiverseCF,3.81333327293396,1.3629658222198486,0.8533333539962769,0.9833333492279052,-1,1,60,51.59052586555481,0.800000011920929,5.176299095153809
ProtoCF,2.640000104904175,2.068593740463257,1.0,1.0,-1,0,8,24.459216356277462,0.800000011920929,4.70859432220459
VAE-CF,5.013333320617676,1.3026195764541626,1.0,1.0,-1,0,65,0.0043299198150634766,0.800000011920929,6.315953254699707
CounterfactualNet,4.559999942779541,2.1425414085388184,0.9866666793823242,0.9090908765792848,-1,1,11,0.0013177394866943,0.8266666531562805,6.702541351318359
