,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,1.524282932,3.879212379,1,1,-1,0,1400,527.0204282,0.718164444,5.403495311
DiverseCF,3.160229445,2.07046628,0.90478009,0.995787084,-1,11,2611,1536.358435,0.718164444,5.230695724
ProtoCF,2.796175957,3.083715916,0.998852789,1,-1,0,2419,878.7746391,0.718164444,5.879891872
VAE-CF,3.357552528,4.37003088,1,1,-1,0,921,0.010690212,0.718164444,7.727583408
CounterfactualNet,2.938432217,3.539688826,0.994263887,1,-1,0,2192,0.004283428,0.718164444,6.478121043
