,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,11.711999893188477,3.538902997970581,1.0,1.0,-1,0,250,73.4920768737793,0.7200000286102295,15.25090217590332
DiverseCF,14.800000190734863,0.946633517742157,0.6959999799728394,0.9760000109672546,-1,6,250,253.1972115039825,0.7200000286102295,15.746633529663086
ProtoCF,13.215999603271484,1.6505829095840454,0.8999999761581421,0.984000027179718,-1,4,250,81.5317120552063,0.7200000286102295,14.866582870483398
VAE-CF,16.496000289916992,1.1939513683319092,0.3880000114440918,0.9674797058105469,-1,8,246,0.0064318180084228516,0.7200000286102295,17.689950942993164
CounterfactualNet,17.695999145507812,2.642061471939087,0.984000027179718,0.9959839582443236,-1,1,249,0.0033347606658935,0.7200000286102295,20.33806037902832
