,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,1.493066668510437,3.4668710231781006,0.9982666373252868,0.9997238516807556,-1,2,7242,1432.2334864139557,0.8198666572570801,4.959937572479248
DiverseCF,3.734133243560791,2.772477149963379,0.850933313369751,0.992490291595459,-1,56,7457,4394.398619174957,0.8198666572570801,6.50661039352417
ProtoCF,2.913599967956543,2.2353081703186035,0.9293333292007446,0.9945223927497864,-1,41,7485,2263.289092063904,0.8198666572570801,5.148907661437988
VAE-CF,4.150400161743164,2.392768144607544,0.8407999873161316,0.9704281091690063,-1,201,6797,0.01677846908569336,0.8198666572570801,6.543168067932129
CounterfactualNet,3.9031999111175537,3.745991468429565,0.9782666563987732,0.9957874417304992,-1,26,6172,0.008704662322998,0.8034666776657104,7.649191856384277
