,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,14.78923797607422,1.4703402519226074,0.9775784611701964,0.0,-1,0,0,82.83851361274719,0.8161435127258301,16.259578704833984
DiverseCF,17.6771297454834,0.4603084623813629,0.5246636867523193,1.0,-1,0,102,328.4511528015137,0.8161435127258301,18.13743782043457
ProtoCF,15.336322784423828,1.1224476099014282,0.7623318433761597,0.0,-1,0,0,72.41461253166199,0.8161435127258301,16.458770751953125
VAE-CF,19.426008224487305,0.23523811995983124,0.3766816258430481,1.0,-1,0,18,0.009767532348632812,0.8161435127258301,19.6612491607666
CounterfactualNet,16.69955062866211,0.5391270518302917,0.9820627570152284,1.0,-1,0,3,0.0054764747619628,0.8206278085708618,17.238677978515625
