,diffs,total_nums,robustness
vanilla_cf,27,1895,0.9857519788918205
diverse_cf,37,4327,0.9914490409059394
proto_cf,9,1445,0.9937716262975779
vae_cf,18,1362,0.986784140969163
c_net_cf,3,2670,0.998876404494382
