,cat_proximity,cont_proximity,validity,robustness,sparsity,diffs,total_num,time,pred_accuracy,proximity
VanillaCF,0.0,1.4224315881729126,1.0,0.7202796936035156,-1,40,143,24.886112928390503,0.9720279574394226,1.4224315881729126
DiverseCF,0.0,1.0069724321365356,1.0,0.2937062978744507,-1,101,143,67.95174503326416,0.9720279574394226,1.0069724321365356
ProtoCF,0.0,0.7291460633277893,1.0,0.307692289352417,-1,99,143,45.00081443786621,0.9720279574394226,0.7291460633277893
VAE-CF,0.0,1.4099472761154175,1.0,0.21678322553634644,-1,112,143,0.003500223159790039,0.9720279574394226,1.4099472761154175
CounterfactualNet,0.0,2.410663366317749,1.0,0.9860140085220336,-1,2,143,0.0008773803710937,0.9510489702224731,2.410663366317749
