train/train_loss_1_step,train/train_loss_2_step,train/train_loss_3_step,grad_2.0_norm_encoder_model.model.0.block.0.weight,grad_2.0_norm_encoder_model.model.0.block.0.bias,grad_2.0_norm_encoder_model.model.0.block.1.weight,grad_2.0_norm_encoder_model.model.0.block.1.bias,grad_2.0_norm_encoder_model.model.1.block.0.weight,grad_2.0_norm_encoder_model.model.1.block.0.bias,grad_2.0_norm_encoder_model.model.1.block.1.weight,grad_2.0_norm_encoder_model.model.1.block.1.bias,grad_2.0_norm_predictor.0.model.0.block.0.weight,grad_2.0_norm_predictor.0.model.0.block.0.bias,grad_2.0_norm_predictor.0.model.0.block.1.weight,grad_2.0_norm_predictor.0.model.0.block.1.bias,grad_2.0_norm_predictor.1.weight,grad_2.0_norm_predictor.1.bias,grad_2.0_norm_explainer.0.model.0.block.0.weight,grad_2.0_norm_explainer.0.model.0.block.0.bias,grad_2.0_norm_explainer.0.model.0.block.1.weight,grad_2.0_norm_explainer.0.model.0.block.1.bias,grad_2.0_norm_explainer.1.weight,grad_2.0_norm_explainer.1.bias,grad_2.0_norm_total,created_at,val/val_loss_1,val/val_loss_2,val/val_loss_3,val/val_loss,val/pred_accuracy,val/cf_proximity,val/cf_accuracy,val/robustness,val/total_diff_num,epoch,train/p_loss,train/train_loss_1_epoch,train/train_loss_2_epoch,train/train_loss_3_epoch,train/e_loss
0.11670227348804474,0.12483145296573639,0.09319961071014404,0.1174,0.0,0.0052,0.0052,0.089,0.0,0.0076,0.0086,0.031,0.0,0.0155,0.0235,0.0779,0.0533,0.0144,0.0,0.0025,0.0033,0.0363,0.0003,0.1847,2021-01-16 13:28:45.479240,,,,,,,,,,,,,,,
0.08848624676465988,0.14856703579425812,0.05332276225090027,0.2047,0.0,0.009,0.008,0.1295,0.0,0.0039,0.0066,0.0188,0.0,0.0094,0.0153,0.0479,0.0007,0.021,0.0,0.003,0.0051,0.043,0.0003,0.2533,2021-01-16 13:28:47.501206,,,,,,,,,,,,,,,
0.060728877782821655,0.15099111199378967,0.03953554481267929,0.2356,0.0,0.0104,0.0108,0.1311,0.0,0.0046,0.0134,0.0149,0.0,0.0064,0.0103,0.0333,0.0048,0.0165,0.0,0.0025,0.0057,0.03,0.0002,0.2754,2021-01-16 13:28:49.247681,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:28:52.319888,0.07603804022073746,0.13153809309005737,0.013324856758117676,0.09070845693349838,0.8016859889030457,19.183578491210938,0.9749741554260254,1.0,7313.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:28:52.616355,,,,,,,,,,0.0,0.16985495388507843,0.09180403500795364,0.13449546694755554,0.07775602489709854,0.07910097390413284
0.04666842520236969,0.14366251230239868,0.030147694051265717,0.3096,0.0,0.0157,0.0126,0.2006,0.0,0.0056,0.0193,0.0079,0.0,0.0047,0.0064,0.0189,0.0159,0.0197,0.0,0.0025,0.0068,0.0403,0.0002,0.3737,2021-01-16 13:28:53.194337,,,,,,,,,,,,,,,
0.06777723133563995,0.1439259946346283,0.019768662750720978,0.1913,0.0,0.0068,0.0102,0.0648,0.0,0.0026,0.0069,0.0073,0.0,0.0029,0.0034,0.0125,0.0003,0.0089,0.0,0.0012,0.0041,0.0209,0.0002,0.2044,2021-01-16 13:28:55.076077,,,,,,,,,,,,,,,
0.06458739936351776,0.14386433362960815,0.021513184532523155,0.1756,0.0,0.0062,0.0088,0.0658,0.0,0.0053,0.0063,0.0064,0.0,0.0023,0.0023,0.0081,0.0064,0.0171,0.0,0.0023,0.0049,0.0331,0.0002,0.1921,2021-01-16 13:28:56.957462,,,,,,,,,,,,,,,
0.05856580287218094,0.14074628055095673,0.03184940665960312,0.4007,0.0,0.0149,0.0185,0.1608,0.0,0.0066,0.0232,0.0124,0.0,0.0041,0.0096,0.0176,0.0154,0.0252,0.0,0.0039,0.0082,0.0528,0.0004,0.4381,2021-01-16 13:28:58.941732,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:01.230234,0.05581948533654213,0.12320863455533981,0.009279259480535984,0.06632701307535172,0.8769444823265076,18.41423988342285,0.9837632179260254,1.0,8147.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:01.499960,,,,,,,,,,1.0,0.08620243519544601,0.05709880217909813,0.14326509833335876,0.028512656688690186,0.029945306479930878
0.05310342460870743,0.13635759055614471,0.023543696850538254,0.235,0.0,0.0088,0.0114,0.1017,0.0,0.0076,0.0165,0.0067,0.0,0.0023,0.0034,0.0091,0.0008,0.0203,0.0,0.0025,0.0062,0.04,0.0002,0.2613,2021-01-16 13:29:02.423901,,,,,,,,,,,,,,,
0.05656267702579498,0.12944744527339935,0.021460406482219696,0.0981,0.0,0.0043,0.0057,0.0528,0.0,0.0056,0.0113,0.0086,0.0,0.0024,0.0053,0.0111,0.0089,0.0197,0.0,0.0024,0.0052,0.0323,0.0002,0.12,2021-01-16 13:29:04.248236,,,,,,,,,,,,,,,
0.051114026457071304,0.12732462584972382,0.03150341659784317,0.4039,0.0,0.0167,0.0186,0.1819,0.0,0.0127,0.0347,0.0089,0.0,0.0024,0.0067,0.0125,0.0129,0.0334,0.0,0.0053,0.0114,0.0701,0.0004,0.4526,2021-01-16 13:29:06.288279,,,,,,,,,,,,,,,
0.05569697171449661,0.1214764341711998,0.019133973866701126,0.2347,0.0,0.0102,0.0141,0.1211,0.0,0.0044,0.0195,0.0058,0.0,0.0024,0.0032,0.01,0.0,0.0182,0.0,0.0021,0.0075,0.0335,0.0002,0.2686,2021-01-16 13:29:08.185869,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:10.178317,0.04679221287369728,0.11630434542894363,0.009788593277335167,0.05779142305254936,0.9095990061759949,17.658035278320312,0.9810776710510254,1.0,8149.0,2.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:10.438115,,,,,,,,,,2.0,0.08019750565290451,0.054539572447538376,0.12868130207061768,0.024831583723425865,0.02611839771270752
0.04431738704442978,0.118933767080307,0.03450126200914383,0.2658,0.0,0.0131,0.013,0.1505,0.0,0.0053,0.0207,0.0079,0.0,0.0017,0.0035,0.0082,0.0021,0.02,0.0,0.003,0.007,0.0414,0.0002,0.3105,2021-01-16 13:29:11.741050,,,,,,,,,,,,,,,
0.07314996421337128,0.1185494214296341,0.03557217866182327,0.1928,0.0,0.0087,0.0093,0.0922,0.0,0.0079,0.0115,0.0102,0.0,0.0025,0.005,0.0117,0.011,0.0165,0.0,0.0024,0.0051,0.0323,0.0002,0.2185,2021-01-16 13:29:13.954265,,,,,,,,,,,,,,,
0.04391118884086609,0.11073318123817444,0.03279145807027817,0.0704,0.0,0.0029,0.0033,0.0279,0.0,0.0022,0.0043,0.0076,0.0,0.0046,0.0054,0.0164,0.0148,0.0048,0.0,0.0007,0.0016,0.0124,0.0001,0.081,2021-01-16 13:29:16.007760,,,,,,,,,,,,,,,
0.0382353812456131,0.11452197283506393,0.019096119329333305,0.2401,0.0,0.0115,0.0128,0.0869,0.0,0.0043,0.0134,0.0063,0.0,0.0014,0.0028,0.0054,0.0005,0.0143,0.0,0.0027,0.0064,0.0352,0.0003,0.2594,2021-01-16 13:29:18.036242,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:19.845173,0.05039169266819954,0.11448171734809875,0.01068915706127882,0.062267761677503586,0.9017865061759949,17.47402572631836,0.980712890625,1.0,8040.0,3.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:20.113975,,,,,,,,,,3.0,0.07548004388809204,0.050901081413030624,0.11629563570022583,0.02529098652303219,0.026453940197825432
0.047074709087610245,0.11738156527280807,0.012907297350466251,0.3271,0.0,0.0129,0.0224,0.1203,0.0,0.0041,0.0205,0.0043,0.0,0.0019,0.0033,0.008,0.0002,0.0147,0.0,0.0018,0.0077,0.024,0.0001,0.3515,2021-01-16 13:29:21.710989,,,,,,,,,,,,,,,
0.06886754930019379,0.11102457344532013,0.01693841814994812,0.1587,0.0,0.006,0.0096,0.0508,0.0,0.0029,0.015,0.0059,0.0,0.0012,0.0018,0.0048,0.0098,0.0122,0.0,0.0017,0.005,0.0216,0.0001,0.1701,2021-01-16 13:29:23.497423,,,,,,,,,,,,,,,
0.032980963587760925,0.11344350129365921,0.012844720855355263,0.1033,0.0,0.0034,0.0052,0.034,0.0,0.0018,0.0066,0.0067,0.0,0.0011,0.0026,0.005,0.0064,0.0076,0.0,0.0014,0.0027,0.0192,0.0002,0.1117,2021-01-16 13:29:25.288435,,,,,,,,,,,,,,,
0.061780527234077454,0.10510405898094177,0.022247910499572754,0.1326,0.0,0.0059,0.0073,0.0533,0.0,0.0041,0.0078,0.0049,0.0,0.0026,0.0035,0.0098,0.0076,0.007,0.0,0.001,0.0025,0.0152,0.0002,0.1452,2021-01-16 13:29:27.241677,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:28.569354,0.0444391705095768,0.11288820952177048,0.008543187752366066,0.054219041019678116,0.9082562327384949,17.05059242248535,0.9852898120880127,1.0,8070.0,4.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:28.826098,,,,,,,,,,4.0,0.06728280335664749,0.04929930716753006,0.11208629608154297,0.017835186794400215,0.018956050276756287
0.04806794226169586,0.10364502668380737,0.015383477322757244,0.1108,0.0,0.004,0.0063,0.0485,0.0,0.0068,0.0129,0.0066,0.0,0.0027,0.0051,0.0127,0.0016,0.0142,0.0,0.0014,0.0046,0.0198,0.0001,0.1255,2021-01-16 13:29:30.637243,,,,,,,,,,,,,,,
0.05704571679234505,0.10108152031898499,0.018224656581878662,0.6362,0.0,0.0218,0.0317,0.1662,0.0,0.0097,0.0351,0.006,0.0,0.0013,0.0027,0.0049,0.0018,0.0297,0.0,0.0043,0.0126,0.067,0.0003,0.6639,2021-01-16 13:29:32.613649,,,,,,,,,,,,,,,
0.052326250821352005,0.09957221895456314,0.01492232084274292,0.2722,0.0,0.0108,0.015,0.0895,0.0,0.0097,0.0237,0.0068,0.0,0.0024,0.0033,0.0085,0.0023,0.0181,0.0,0.0034,0.0069,0.0479,0.0004,0.2931,2021-01-16 13:29:34.430521,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:37.122978,0.06381483376026154,0.11167110502719879,0.014441074803471565,0.07928963005542755,0.8308636546134949,17.04124641418457,0.9695427417755127,1.0,7964.0,5.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 13:29:37.380898,,,,,,,,,,5.0,0.06618589907884598,0.04885008931159973,0.10212195664644241,0.01605028100311756,0.017071500420570374
0.0514555498957634,0.0987466350197792,0.012120869010686874,0.009,0.0,0.0004,0.001,0.0056,0.0,0.0008,0.0017,0.0047,0.0,0.0021,0.0026,0.0084,0.0077,0.0046,0.0,0.0008,0.002,0.0102,0.0,0.0202,2021-01-16 13:29:37.704080,,,,,,,,,,,,,,,
