,diffs,total_nums,robustness
vanilla_cf,49,143,0.6573426573426573
diverse_cf,121,143,0.15384615384615385
proto_cf,110,143,0.23076923076923073
vae_cf,128,143,0.1048951048951049
c_net_cf,6,143,0.958041958041958
